id,first_name,last_name,date_of_birth,country,married,job,income_in_year,total_property_cost
1,Anthony,Miller,80,France,True,Astronomer,100826$,641662$
2,Walter,Henry,60,Poland,True,Health promotion specialist,76112$,1907200$
7,Michael,Munoz,36,France,False,Clinical molecular geneticist,88208$,441762$
8,Natalie,Hensley,26,France,True,Pensions consultant,123681$,2124875$
9,Dawn,Jones,41,Poland,False,"Surveyor, minerals",73610$,1733425$
10,Susan,Turner,22,France,True,"Investment banker, operational",98767$,1177176$
11,Kari,Kaiser,51,Germany,True,Intelligence analyst,85297$,693574$
12,Jacqueline,Crosby,33,Italy,True,Commercial horticulturist,79360$,911185$
13,Stephen,Lee,76,Poland,True,"Programmer, systems",83287$,2311692$
14,Brandon,Collins,24,Poland,False,Artist,100402$,1900968$
15,Zachary,Bryant,29,France,False,"Surveyor, minerals",38668$,775020$
16,Gabriel,Garner,71,Poland,True,Chief Financial Officer,116529$,1793016$
17,Jill,Campbell,37,Spain,True,"Development worker, community",80497$,1221972$
18,Ashley,Aguirre,77,France,False,Pension scheme manager,87641$,807350$
19,Cindy,Reynolds,39,France,True,Microbiologist,107444$,1915185$
20,Robert,Galloway,20,France,True,Facilities manager,114052$,1349052$
21,Lauren,Young,56,Germany,True,Clinical embryologist,47138$,2948232$
22,Adam,Le,26,Italy,True,Claims inspector/assessor,106588$,1388580$
23,Mary,Long,60,Germany,False,"Scientist, research (life sciences)",113348$,1447836$
24,Daniel,Johnson,47,United Kingdom,True,Passenger transport manager,76848$,1027134$
25,Clifford,Barrera,49,Germany,True,"Horticulturist, amenity",69210$,1819796$
26,Manuel,Mccoy,21,France,False,Arts development officer,64533$,1649323$
27,Christopher,Brennan,31,Spain,False,Adult nurse,135099$,705348$
28,Arthur,Baker,79,United Kingdom,False,Interpreter,64034$,1810638$
29,James,Dean,36,Germany,False,Meteorologist,61488$,1573452$
30,Chad,Bryant,59,France,False,"Biochemist, clinical",114140$,1728563$
31,James,Anderson,25,United Kingdom,False,Energy manager,105879$,2049690$
